"MSGNO","AREA","DEFAULT_TYPE","TEXT","PRIMARY_OBJECTS","CONSOLIDATION_NOTE"
"219","FIREFIGHTER","I","Pending Firefighter grant candidates=&1","ZCL_IAM_ACCESS_CTRL",""
"220","FIREFIGHTER","S","Simulation: grant &1 to user &2, role &3","ZCL_IAM_ACCESS_CTRL",""
"221","FIREFIGHTER","I","Grant &1 expired before background processing","ZCL_IAM_ACCESS_CTRL",""
"222","FIREFIGHTER","I","Grant &1 background role assignment in progress","ZCL_IAM_ACCESS_CTRL",""
"223","FIREFIGHTER","I","Role &1 already exists; temporary ownership not created","ZCL_IAM_ACCESS_CTRL",""
"224","FIREFIGHTER","S","Grant &1 role assigned by background job","ZCL_IAM_ACCESS_CTRL",""
"225","FIREFIGHTER","S","Grant &1 recovered from actual role state","ZCL_IAM_ACCESS_CTRL",""
"226","FIREFIGHTER","E","Grant &1 is stale; assigned role was not verified","ZCL_IAM_ACCESS_CTRL",""
"227","FIREFIGHTER","I","Firefighter expiry candidates=&1","ZCL_IAM_ACCESS_CTRL",""
"228","FIREFIGHTER","S","Simulation: expire grant &1 for user &2, role &3","ZCL_IAM_ACCESS_CTRL",""
"229","FIREFIGHTER","I","Role retained for overlapping grant &1","ZCL_IAM_ACCESS_CTRL",""
"230","FIREFIGHTER","E","Read-after-write failed: &1","ZCL_IAM_ACCESS_CTRL",""
"231","FIREFIGHTER","E","Target role state was not applied: &1","ZCL_IAM_ACCESS_CTRL",""
"232","FIREFIGHTER","E","Target role still exists after update: &1","ZCL_IAM_ACCESS_CTRL","Normalizes fingerprint wording"
"233","FIREFIGHTER","E","An unrelated role changed during the update","ZCL_IAM_ACCESS_CTRL",""
"234","FIREFIGHTER","W","Role state verified despite BAPI return: &1","ZCL_IAM_ACCESS_CTRL",""
"235","FIREFIGHTER","S","Role state verified","ZCL_IAM_ACCESS_CTRL",""
"300","SOD","E","SoD rule &1 was not found","ZCL_IAM_SOD_ADMIN",""
"301","SOD","E","Role &1 is not part of SoD rule &2","ZCL_IAM_SOD_ADMIN",""
"302","SOD","E","Role &1 belongs to active Firefighter grant &2","ZCL_IAM_SOD_ADMIN","Follow with controlled Firefighter revoke guidance in UI"
"303","SOD","E","Role &1 is not assigned to user &2","ZCL_IAM_SOD_ADMIN",""
"304","SOD","E","Role &1 is not currently valid for user &2","ZCL_IAM_SOD_ADMIN",""
"305","SOD","S","Role &1 was removed from user &2; review audited","ZCL_IAM_SOD_ADMIN",""
"306","SOD","E","Role &1 was not found in AGR_DEFINE","ZPG_IAM_CFG_MAINT",""
"307","SOD","E","User &1 was not found in USR02","ZPG_IAM_CFG_MAINT","Shared by owner and backup-owner validation"
"308","SOD","E","SoD rule &1 requires two roles","ZPG_IAM_CFG_MAINT",""
"309","SOD","E","SoD rule &1 roles must differ","ZPG_IAM_CFG_MAINT",""
"310","SOD","E","SoD rule &1 role &2 was not found","ZPG_IAM_CFG_MAINT","Consolidates Role1 and Role2 not-found messages"
"400","INACTIVITY","E","Invalid thresholds: warn=&1, lock=&2","ZCL_IAM_ACCESS_CTRL",""
"401","INACTIVITY","I","Inactivity scan candidates=&1; key date=&2","ZCL_IAM_ACCESS_CTRL",""
"402","INACTIVITY","I","Account &1 excluded from inactivity control","ZCL_IAM_ACCESS_CTRL",""
"403","INACTIVITY","I","User &1 skipped after locked recheck","ZCL_IAM_ACCESS_CTRL",""
"404","INACTIVITY","W","User &1 has invalid activity anchor &2","ZCL_IAM_ACCESS_CTRL",""
"405","INACTIVITY","S","Simulation: close inactivity case for &1 after login","ZCL_IAM_ACCESS_CTRL",""
"406","INACTIVITY","S","Inactivity case closed for &1","ZCL_IAM_ACCESS_CTRL",""
"407","INACTIVITY","E","Failed to close inactivity case for &1","ZCL_IAM_ACCESS_CTRL",""
"408","INACTIVITY","S","Simulation: reconcile existing lock for &1","ZCL_IAM_ACCESS_CTRL",""
"409","INACTIVITY","I","Warning already sent today to &1","ZCL_IAM_ACCESS_CTRL",""
"410","INACTIVITY","S","Simulation: warn &1 after &2 inactive days","ZCL_IAM_ACCESS_CTRL",""
"411","INACTIVITY","E","Cannot warn &1: &2","ZCL_IAM_ACCESS_CTRL",""
"412","INACTIVITY","I","Warning for &1: &2","ZCL_IAM_ACCESS_CTRL","Result envelope for warning operation"
"413","INACTIVITY","S","Simulation: lock &1 after &2 inactive days","ZCL_IAM_ACCESS_CTRL",""
"414","INACTIVITY","W","Lock skipped after recheck for &1","ZCL_IAM_ACCESS_CTRL",""
"415","INACTIVITY","W","Lock skipped; &1 logged in during scan","ZCL_IAM_ACCESS_CTRL",""
"416","INACTIVITY","E","Lock not attempted; intent audit failed for &1","ZCL_IAM_ACCESS_CTRL",""
"417","INACTIVITY","E","Lock failed for &1: &2","ZCL_IAM_ACCESS_CTRL",""
"418","INACTIVITY","E","Post-lock verification failed for &1","ZCL_IAM_ACCESS_CTRL",""
"419","INACTIVITY","S","User &1 locked after &2 inactive days","ZCL_IAM_ACCESS_CTRL",""
"420","INACTIVITY","E","User &1 locked but final audit persistence failed","ZCL_IAM_ACCESS_CTRL",""
"421","INACTIVITY","E","No email address is maintained","ZCL_IAM_ACCESS_CTRL",""
"422","INACTIVITY","S","Email address resolved","ZCL_IAM_ACCESS_CTRL",""
"423","INACTIVITY","S","Mail queued","ZCL_IAM_ACCESS_CTRL",""
"424","INACTIVITY","E","Mail could not be sent","ZCL_IAM_ACCESS_CTRL","Normalizes CL_BCS implementation wording"
"425","INACTIVITY","E","Persistence or audit failure","ZCL_IAM_ACCESS_CTRL",""
"426","INACTIVITY","I","Lock operation started","ZCL_IAM_ACCESS_CTRL","Persisted control-case status"
"427","INACTIVITY","E","Post-lock verification failed","ZCL_IAM_ACCESS_CTRL","Persisted control-case status"
